mixture_collection	indiv	1. Alaska	2. Central	3. Southwest	4. East	5. WesternBoreal	State	Town	Stage	longitude	latitude
mixture	07N65780	0.99999393081285	0.0000000000109060352102402	0.000000213625120466478	0.000000000000000000000000000000000000000144336626050981	0.00000585555112346074	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N65897	0.0332151673969106	0.954223303534717	0.0124158681287726	0.000000000000000000000365049162725146	0.000145660939597029	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N65915	0.00742169866239886	0.992578301243887	0.0000000000934479383628181	0.000000000000000000119831222110075	0.000000000000267466590595384	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N66005	0.00000000000370506295064326	0.999999999995136	0.00000000000115872296954261	0.0000000000000000392919195220008	0.000000000000000250881359732556	CR	Paisley	Wintering	-82.95	8.75
mixture	07N66013	0.000000000000000120735940595824	0.999999999998257	0.0000000000000000252917582982273	0.000000000001744557760659	0.000000000000000000199200952388	CR	Paisley	Wintering	-82.95	8.75
mixture	07N66024	0.605880364298634	0.394119193035747	0.000000380343976031837	0.000000000000000000000109147421713596	0.0000000623216426299443	CR	Paisley	Wintering	-82.95	8.75
mixture	07N66025	0.000000000000000000156530235584289	0.999999999981932	0.000000000000000000468099900307993	0.0000000000180673481326684	0.0000000000000000000000268377974841126	CR	Paisley	Wintering	-82.95	8.75
mixture	07N66070	0.000000000000297632468781788	0.999999999999699	0.00000000000000013620840563079	0.0000000000000101686930958657	0.000000000000000000158500269851919	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N66081	0.0000000160202639076497	0.999999979270217	0.00000000454156866707137	0.0000000000000000277552916510328	0.000000000167952115872628	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N66086	0.0000984453976368267	0.00000479287374207532	0.999780975414049	0.000000000000000000000000000127455044832407	0.000115786314572216	CR	Paisley	Wintering	-82.95	8.75
mixture	07N66089	0.00000000228163283324893	0.999996416120466	0.00000358153315100555	0.0000000000000000232517263261229	0.0000000000647507727339544	CR	Paisley	Wintering	-82.95	8.75
mixture	08N33114	0.00000000127710844035914	0.999999998479978	0.000000000242168891320569	0.0000000000000000060854320885738	0.000000000000744210580515798	Jinotega	Turrialba	Wintering	-86.05	13.2
