event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
14314313989,true,2015-07-19 04:04:00.000,-70.17,42.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313990,true,2015-07-19 19:13:00.000,-70.0,42.26,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313991,true,2015-07-20 04:05:00.000,-70.1,42.16,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313992,true,2015-07-20 19:37:00.000,-70.08,42.1,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313993,true,2015-07-21 04:07:00.000,-70.09,42.07,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313994,true,2015-07-21 19:28:00.000,-70.08,41.88,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313995,true,2015-07-22 04:09:00.000,-70.09,41.86,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313996,true,2015-07-22 19:30:00.000,-70.08,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313997,true,2015-07-23 04:13:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313998,true,2015-07-23 19:23:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313999,true,2015-07-24 04:04:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314000,true,2015-07-24 19:25:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314001,true,2015-07-25 04:14:00.000,-70.09,41.78,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314002,true,2015-07-25 19:08:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314003,true,2015-07-26 04:23:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314004,true,2015-07-26 19:17:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314005,true,2015-07-27 04:28:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314006,true,2015-07-27 19:13:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314007,true,2015-07-28 04:29:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314008,true,2015-07-28 19:19:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314009,true,2015-07-29 04:17:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314010,true,2015-07-29 19:20:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314011,true,2015-07-30 04:16:00.000,-70.09,41.79,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314012,true,2015-07-30 19:15:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
